scheme,segment_id,count,target_mean,target_std
grid_coarse,20011,71,2.4917056560516357,1.3563251495361328
grid_coarse,20012,61,2.274705648422241,0.9324805736541748
grid_coarse,100003,36,3.3018910884857178,1.3218804597854614
grid_coarse,90004,31,3.085129976272583,1.0157783031463623
grid_coarse,30011,24,2.4973747730255127,0.828052282333374
grid_coarse,14,20,1.4463499784469604,0.3863106667995453
grid_coarse,30012,18,2.542667865753174,1.0950109958648682
grid_coarse,100004,15,2.3917999267578125,0.8820369839668274
grid_coarse,80008,12,0.7557500004768372,0.22068382799625397
grid_coarse,120005,12,1.2825000286102295,0.44300252199172974
grid_coarse,30013,11,1.133454442024231,0.4050459861755371
grid_coarse,10013,10,2.285099744796753,0.8585519194602966
grid_coarse,30009,10,2.610400915145874,0.8635808229446411
grid_coarse,13,9,3.2691123485565186,1.2032983303070068
grid_coarse,50010,8,0.856374979019165,0.3381948173046112
grid_coarse,20013,7,1.222000002861023,0.20969843864440918
grid_coarse,80004,7,2.459428548812866,0.9404733777046204
grid_coarse,100006,6,0.9658333659172058,0.2561824917793274
grid_coarse,110005,6,1.1510000228881836,0.3031165897846222
grid_coarse,100005,5,0.832800030708313,0.20729728043079376
grid_coarse,110003,5,2.57099986076355,1.1933704614639282
grid_coarse,110004,5,1.5564000606536865,0.2553652822971344
grid_coarse,160000,5,0.8692000508308411,0.10858988016843796
grid_coarse,30008,4,3.364000082015991,0.40171074867248535
grid_coarse,30010,4,2.3945000171661377,0.909584641456604
grid_coarse,80005,4,1.6514999866485596,0.5055756568908691
grid_coarse,120006,4,1.7934999465942383,0.1876453161239624
grid_coarse,10012,3,5.000010013580322,9.99999993922529e-09
grid_coarse,20014,3,1.5166667699813843,0.9293763041496277
grid_coarse,20015,3,0.9856666922569275,0.04058190807700157
grid_coarse,40007,3,1.8166667222976685,0.6224962472915649
grid_coarse,70009,3,0.5506666302680969,0.09273739159107208
grid_coarse,110007,3,1.286666750907898,0.25775742530822754
grid_coarse,120002,3,1.5333333015441895,0.7064357399940491
grid_coarse,120003,3,0.8196666836738586,0.35907503962516785
grid_coarse,130003,3,0.8886666297912598,0.2556590437889099
grid_coarse,130005,3,0.6316666603088379,0.0739564597606659
grid_coarse,130006,3,1.565000057220459,0.1470533311367035
grid_coarse,10014,2,1.6744999885559082,0.03950000926852226
grid_coarse,60009,2,0.6519999504089355,0.06700000911951065
grid_coarse,60012,2,0.9564999938011169,0.13750000298023224
grid_coarse,70008,2,0.7369999885559082,0.09000001102685928
grid_coarse,80009,2,0.7259999513626099,0.20600001513957977
grid_coarse,90005,2,3.112499952316284,0.10450006276369095
grid_coarse,90006,2,1.2730000019073486,0.38499999046325684
grid_coarse,90007,2,0.6324999928474426,0.05650002881884575
grid_coarse,100010,2,2.320499897003174,0.1065000370144844
grid_coarse,110002,2,1.7020000219345093,0.3270000219345093
